Source,Target,Weight,Distance_km
48,64,0.2313,4.223
48,71,0.3743,2.572
48,74,0.1972,4.971
48,75,0.2513,3.879
49,54,0.2172,4.505
49,56,0.579,1.627
49,60,0.2477,3.937
49,62,0.2517,3.873
49,64,0.3016,3.216
49,65,0.2161,4.526
49,71,0.3565,2.705
49,74,0.3695,2.606
50,51,1.838,0.444
52,58,0.2149,4.552
52,59,0.2568,3.794
52,60,0.2486,3.923
52,62,0.202,4.85
52,63,0.3917,2.453
52,64,0.1975,4.964
52,65,0.268,3.631
52,67,0.2369,4.122
52,70,0.3784,2.543
52,73,0.3643,2.645
54,69,0.2592,3.758
55,57,0.1984,4.94
55,60,0.2042,4.797
55,62,0.2762,3.52
55,64,0.2256,4.332
55,70,0.2154,4.542
55,75,0.5608,1.683
56,57,0.2178,4.492
56,62,0.2043,4.795
56,64,0.2261,4.323
56,71,0.8308,1.104
56,74,0.2356,4.145
57,71,0.2186,4.475
57,75,0.2817,3.45
58,67,0.2381,4.099
59,60,0.2012,4.869
59,63,0.2653,3.67
59,65,0.3023,3.208
59,67,0.607,1.547
59,73,0.2436,4.006
60,62,0.6151,1.526
60,63,0.5993,1.569
60,64,0.797,1.155
60,65,0.5286,1.792
60,70,0.2124,4.609
60,73,0.7171,1.295
60,74,0.5637,1.674
60,75,0.2298,4.251
61,70,0.267,3.645
62,63,0.338,2.859
62,64,1.088,0.819
62,65,0.2931,3.312
62,70,0.2066,4.74
62,73,0.3816,2.521
62,74,0.3773,2.55
62,75,0.3514,2.746
63,64,0.3564,2.706
63,65,0.637,1.47
63,67,0.204,4.802
63,70,0.2576,3.781
63,73,2.244,0.346
63,74,0.3448,2.801
64,65,0.3459,2.791
64,73,0.399,2.406
64,74,0.5417,1.746
64,75,0.2826,3.439
65,67,0.211,4.638
65,73,0.5888,1.598
65,74,0.4897,1.942
70,73,0.2612,3.729
73,74,0.3607,2.672
